,en,ru,pt-br,es-es,de,fr-fr,zh-cn,jp,ko,fi-es,,NOTES – use \n for newline,max length
mat_glass_broken_molten,molten glass,расплавленное стекло,vidro derretido,vidrio derretido,geschmolzenes Glas,verre fondu,熔融玻璃,溶解ガラス,녹은 유리,,,,
mat_steel_molten,molten metal,расплавленный металл,metal derretido,metal derretido,geschmolzenes Metall,métal fondu,熔化金属,溶解金属,녹은 금속,,,,
mat_creepy_liquid,creepy liquid,жуткая жидкость,líquido sinistro,líquido siniestro,schaurige Flüssigkeit,liquide sinistre,恐怖液体,気味の悪い液体,음산한 액체,,,,
mat_cement,cement,цемент,cimento,cemento,Zement,ciment,水泥,セメント,시멘트,,,,
mat_sand,sand,песок,areia,arena,Sand,sable,砂,砂,모래,,,,
mat_sand_blue,blue sand,синий песок,areia azul,arena azul,blauer Sand,sable bleu,蓝砂,青い砂,파란 모래,,,,
mat_lavasand,volcanic sand,вулканический песок,areia vulcânica,arena volcánica,vulkanischer Sand,sable volcanique,火山砂,火山の砂,화산 모래,,,,
mat_bone,bone dust,костная пыль,pó de osso,polvo de hueso,Knochenstaub,poussière d'os,骨灰,骨粉,뼛가루,,,,
mat_soil,soil,почва,solo,tierra,Erde,sol,泥土,土,흙,,,,
mat_soil_dead,barren soil,бесплодная почва,solo árido,tierra árida,karge Erde,sol stérile,贫瘠泥土,不毛の土,황폐한 흙,,,,
mat_sandstone,sandstone,песчаник,arenito,arenisca,Sandstein,pierre de sable,砂岩,砂の石,사암,,,,
mat_fungisoil,fungal soil,грибная почва,solo fúngico,tierra de hongos,Pilzerde,sol fongique,菌丝土,真菌の土,곰팡이 흙,,,,
mat_honey,honey,мед,mel,miel,Honig,miel,蜂蜜,ハチミツ,꿀,,,,
mat_pea_soup,pea soup,гороховый суп,sopa de ervilha,sopa de guisantes,Erbsensuppe,soupe de pois,豌豆汤,マメのスープ,콩 수프,,,,
mat_endslime,hell slime,адская слизь,gosma infernal,limo infernal,Höllenschleim,gelée infernale,地狱粘液,地獄のスライム,지옥 슬라임,,,,
mat_endslime_blood,hell slime,адская слизь,gosma infernal,limo infernal,Höllenschleim,gelée infernale,地狱粘液,地獄のスライム,지옥 슬라임,,,,
mat_explosion_dirt,dirt,грязь,terra,polvo,Dreck,poussière,尘土,泥,때,,,,
mat_vine,vine,лоза,vinha,vid,Ranke,vigne,藤蔓,つる,덩굴,,,,
mat_root,vine,лоза,vinha,vid,Ranke,vigne,藤蔓,つる,덩굴,,,,
mat_snow,snow,снег,neve,nieve,Schnee,neige,雪,雪,눈,,,,
mat_rotten_meat,rotten meat,гнилое мясо,carne podre,carne podrida,verrottetes Fleisch,viande pourrie,腐肉,腐った肉,썩은 고기,,,,
mat_meat_slime_sand,slimy meat,слизистое мясо,carne gosmenta,carne gelatinosa,schleimiges Fleisch,viande visqueuse,发黏的肉,ベトベトな肉,미끈한 고기,,,,
mat_meat_slime_green,green slimy meat,зеленое слизистое мясо,carne gosmenta verde,carne gelatinosa verde,grünes schleimiges Fleisch,viande visqueuse verte,绿涩发黏的肉,緑のベトベトな肉,녹색 미끈한 고기,,,,
mat_meat_slime_orange,slimy meat,слизистое мясо,carne gosmenta,carne gelatinosa,schleimiges Fleisch,viande visqueuse,发黏的肉,ベトベトな肉,미끈한 고기,,,,
mat_rotten_meat_radioactive,toxic meat,радиоактивное мясо,carne tóxica,carne tóxica,toxisches Fleisch,viande toxique,有毒的肉,猛毒な肉,독고기,,,,
mat_meat_worm,worm meat,червивое мясо,carne de verme,carne de gusano,Wurmfleisch,viande de ver,蠕虫的肉,蠕虫の肉,애벌레 고기,,,,
mat_ice,ice,лед,gelo,hielo,Eis,glace,寒冰,氷,얼음,,,,
mat_wax,wax,воск,cera,cera,Wachs,cire,蜡,ワックス,밀랍,,,,
mat_gold,gold,золото,ouro,oro,Gold,or,黄金,ゴールド,황금,kulta,,,
mat_gold_radioactive,toxic gold,радиоактивное золото,ouro tóxico,oro tóxico,toxisches Gold,or toxique,淬毒黄金,猛毒ゴールド,독성 금,hohtava kulta,,,
mat_copper,copper,медь,cobre,cobre,Kupfer,cuivre,铜,銅,구리,,,,
mat_silver,silver,серебро,prata,plata,Silber,argent,银,シルバー,은,,,,
mat_coal,coal,уголь,carvão,carbón,Kohle,charbon,煤,石炭,석탄,,,,
mat_brass,brass,латунь,bronze,latón,Messing,laiton,黄铜,真ちゅう,청동,,,,
mat_burning_powder,burning powder,горящий порошок,pó ardente,polvo ígneo,brennendes Pulver,poudre brûlante,燃烧粉末,燃焼粉末,불타는 가루,,,,
mat_sodium_unstable,wet sodium,влажный натрий,sódio molhado,sodio mojado,nasses Natrium,sodium humide,湿钠,濡れたソディウム,젖은 소디움,,,,
mat_gunpowder,gunpowder,порох,pólvora,pólvora,Schießpulver,poudre à canon,火药,火薬,화약,,,,
mat_gunpowder_tnt,gunpowder,порох,pólvora,pólvora,Schießpulver,poudre à canon,火药,火薬,화약,,,,
mat_gunpowder_unstable,gunpowder,порох,pólvora,pólvora,Schießpulver,poudre à canon,火药,火薬,화약,,,,
mat_gunpowder_unstable_boss_limbs,slimy meat,слизистое мясо,carne gosmenta,carne gelatinosa,schleimiges Fleisch,viande visqueuse,发黏的肉,ベトベトな肉,미끈한 고기,,,,
mat_plastic_red,plastic,пластик,plástico,plástico,Plastik,plastique,塑料,プラスチック,플라스틱,,,,
mat_plastic_red_molten,molten plastic,расплавленный пластик,plástico derretido,plástico derretido,geschmolzenes Plastik,plastique fondu,熔融塑料,溶解プラスチック,녹은 플라스틱,,,,
mat_plastic_molten,molten plastic,расплавленный пластик,plástico derretido,plástico derretido,geschmolzenes Plastik,plastique fondu,熔融塑料,溶解プラスチック,녹은 플라스틱,,,,
mat_plastic_prop_molten,molten plastic,расплавленный пластик,plástico derretido,plástico derretido,geschmolzenes Plastik,plastique fondu,熔融塑料,溶解プラスチック,녹은 플라스틱,,,,
mat_grass,grass,трава,grama,pasto,Gras,herbe,草,草,풀,,,,
mat_moss,moss,мох,musgo,musgo,Moos,mousse,苔藓,苔,이끼,,,,
mat_moss_rust,rusty moss,ржавый мох,musgo enferrujado,musgo roñoso,rostiges Moos,mousse rouillée,锈色苔藓,赤茶けた苔,녹슨 이끼,,,,
mat_fungi_green,fungus,гриб,fungo,hongo,Pilz,champignon,真菌,キノコ,곰팡이,,,,
mat_spore,seed,семя,semente,semilla,Samen,graine,种子,種,씨앗,,,,
mat_plant_material_red,seed,семя,semente,semilla,Samen,graine,种子,種,씨앗,,,,
mat_ceiling_plant_material,seed,семя,semente,semilla,Samen,graine,种子,種,씨앗,,,,
mat_mushroom_seed,fungal spore,грибковая спора,esporo fúngico,espora de hongos,Pilzspore,spore fongique,真菌孢子,真菌芽胞,곰팡이 포자,,,,
mat_plant_seed,plant seed,семя растения,semente de planta,semilla de planta,Pflanzensamen,graine de plante,植物种子,植物の種,식물 씨앗,,,,
mat_mushroom,fungal spore,грибковая спора,esporo fúngico,espora de hongos,Pilzspore,spore fongique,真菌孢子,真菌芽胞,곰팡이 포자,,,,
mat_mushroom_giant_red,fungal spore,грибковая спора,esporo fúngico,espora de hongos,Pilzspore,spore fongique,真菌孢子,真菌芽胞,곰팡이 포자,,,,
mat_mushroom_giant_blue,fungal spore,грибковая спора,esporo fúngico,espora de hongos,Pilzspore,spore fongique,真菌孢子,真菌芽胞,곰팡이 포자,,,,
mat_glowshroom,glowing fungal spore,светящаяся грибная спора,esporo fúngico brilhante,espora de hongos brillante,leuchtende Pilzspore,spore fongique luisante,发光真菌孢子,光る真菌芽胞,빛나는 곰팡이 포자,,,,
mat_bush_seed,evergreen seed,вечнозеленое семя,semente perene,semilla de perenne,Immergrün-Samen,graine verdoyante,常绿种子,常緑樹の種,상록수 씨앗,,,,
mat_acid,acid,кислота,ácido,ácido,Säure,acide,酸液,酸,산성,,,,
mat_wood_player_b2,wood,дерево,madeira,madera,Holz,bois,木材,木材,목재,,,,
mat_wood_player_b2_vertical,wood,дерево,madeira,madera,Holz,bois,木材,木材,목재,,,,
mat_wood,wood,дерево,madeira,madera,Holz,bois,木材,木材,목재,,,,
mat_fuse,bomb,бомба,bomba,bomba,Bombe,bombe,炸弹,爆弾,폭탄,,,,
mat_fuse_tnt,tnt,тротил,dinamite,tnt,TNT,tnt,tnt,TNT,TNT,,,,
mat_fuse_holy,holy matter,святое вещество,matéria sagrada,materia sagrada,heilige Materie,matière sacrée,神圣物质,聖なる物質,신성한 물질,,,,
mat_templebrick_box2d,brickwork,кирпич,alvenaria,ladrillo,Mauerwerk,briquetage,砖块,レンガ,벽돌,,,,
mat_wood_trailer,wood,дерево,madeira,madera,Holz,bois,木材,木材,목재,,,,
mat_wood_wall,wood,дерево,madeira,madera,Holz,bois,木材,木材,목재,,,,
mat_cactus,grass,трава,grama,pasto,Gras,herbe,草,草,풀,,,,
mat_grass_loose,fungal matter,грибное вещество,matéria fúngica,materia de hongos,Pilzmaterie,matière fongique,真菌物质,真菌物質,곰팡이 물질,,,,
mat_wood_prop,wood,дерево,madeira,madera,Holz,bois,木材,木材,목재,,,,
mat_wood_prop_durable,tough wood,прочное дерево,madeira rígida,madera recia,hartes Holz,bois robuste,硬木,丈夫な木材,단단한 목재,,,,
mat_nest_box2d,nest,гнездо,ninho,nido,Nest,nid,巢穴,巣,둥지,,,,
mat_cocoon_box2d,cocoon,кокон,casulo,capullo,Kokon,cocon,茧,繭,고치,,,,
mat_wood_loose,wood,дерево,madeira,madera,Holz,bois,木材,木材,목재,,,,
mat_rock_loose,rock,камень,rocha,roca,Fels,pierre,岩石,岩,바위,,,,
mat_ice_ceiling,ice,лед,gelo,hielo,Eis,glace,寒冰,氷,얼음,,,,
mat_brick,brick wall,кирпичная стена,parede de tijolo,muro de ladrillo,Ziegelmauer,mur de briques,砖墙,レンガの壁,벽돌 벽,,,,
mat_concrete_collapsed,collapsed concrete,обрушенный бетон,concreto desabado,hormigón derrumbado,zerfallener Beton,béton effondré,坍塌的混凝土,崩壊したコンクリート,무너진 콘크리트,,,,
mat_tnt,tnt,тротил,dinamite,tnt,TNT,tnt,tnt,TNT,TNT,,,,
mat_trailer_text,text,текст,texto,texto,Text,texte,文本,テキスト,텍스트,,,,
mat_meteorite,meteorite,метеорит,meteorito,meteorito,Meteorit,météorite,陨石,隕石,운석,,,,
mat_meteorite_crackable,meteorite,метеорит,meteorito,meteorito,Meteorit,météorite,陨石,隕石,운석,,,,
mat_meteorite_green,green meteorite,зеленый метеорит,meteorito verde,meteorito verde,grüner Meteorit,météorite verte,绿色陨石,緑の隕石,녹색 운석,,,,
mat_steel,steel,сталь,aço,acero,Stahl,acier,钢,鋼,강철,,,,
mat_steel_rust,rusted steel,ржавая сталь,aço enferrujado,acero oxidado,rostiger Stahl,acier rouillé,锈蚀的钢,錆びた鋼,녹슨 강철,,,,
mat_metal_rust_rust,rusted metal,ржавый металл,metal enferrujado,metal oxidado,rostiges Metall,métal rouillé,锈蚀金属,錆びた金属,녹슨 금속,,,,
mat_metal_rust_barrel_rust,rusted metal,ржавый металл,metal enferrujado,metal oxidado,rostiges Metall,métal rouillé,锈蚀金属,錆びた金属,녹슨 금속,,,,
mat_plastic,plastic,пластик,plástico,plástico,Plastik,plastique,塑料,プラスチック,플라스틱,,,,
mat_aluminium,aluminium,алюминий,alumínio,aluminio,Aluminium,aluminium,铝,アルミニウム,알루미늄,,,,
mat_metal_prop,metal,металл,metal,metal,Metall,métal,金属,鉄,금속,,,,
mat_metal,metal,металл,metal,metal,Metall,métal,金属,鉄,금속,,,,
mat_rock_box2d_hard,rock,камень,rocha,roca,Fels,pierre,岩石,岩,바위,,,,
mat_rock_box2d_nohit,rock,камень,rocha,roca,Fels,pierre,岩石,岩,바위,,,,
mat_rock_box2d_nohit_hard,dense rock,плотный камень,rocha densa,roca densa,dichter Fels,pierre dense,致密岩石,固い岩,고밀도 바위,,,,
mat_rock_static_box2d,rock,камень,rocha,roca,Fels,pierre,岩石,岩,바위,,,,
mat_rock_box2d,rock,камень,rocha,roca,Fels,pierre,岩石,岩,바위,,,,
mat_item_box2d,item,предмет,item,objeto,Gegenstand,objet,物品,アイテム,아이템,,,,
mat_gem_box2d,gem,драгоценный камень,gema,gema,Edelstein,gemme,宝石,宝石,보석,,,,
mat_potion_glass_box2d,glass,стекло,vidro,vidrio,Glas,verre,玻璃,ガラス,유리,,,,
mat_glass_box2d,glass,стекло,vidro,vidrio,Glas,verre,玻璃,ガラス,유리,,,,
mat_gem_box2d_pink,gem,драгоценный камень,gema,gema,Edelstein,gemme,宝石,宝石,보석,,,,
mat_gem_box2d_red,gem,драгоценный камень,gema,gema,Edelstein,gemme,宝石,宝石,보석,,,,
mat_gem_box2d_green,gem,драгоценный камень,gema,gema,Edelstein,gemme,宝石,宝石,보석,,,,
mat_gem_box2d_orange,gem,драгоценный камень,gema,gema,Edelstein,gemme,宝石,宝石,보석,,,,
mat_gold_box2d,gold,золото,ouro,oro,Gold,or,黄金,ゴールド,황금,,,,
mat_metal_nohit,metal,металл,metal,metal,Metall,métal,金属,鉄,금속,,,,
mat_metal_rust,rusted metal,ржавый металл,metal enferrujado,metal oxidado,rostiges Metall,métal rouillé,锈蚀金属,錆びた金属,녹슨 금속,,,,
mat_metal_rust_barrel,rusted metal,ржавый металл,metal enferrujado,metal oxidado,rostiges Metall,métal rouillé,锈蚀金属,錆びた金属,녹슨 금속,,,,
mat_bone_box2d,bone,кость,osso,hueso,Knochen,os,骨头,骨,뼈,,,,
mat_crystal,crystal,кристалл,cristal,cristal,Kristall,cristal,晶体,クリスタル,수정,,,,
mat_crystal_purple,purple crystal,сиреневый кристалл,cristal roxo,cristal morado,lila Kristall,cristal violet,紫色晶体,紫のクリスタル,보라색 수정,,,,
mat_crystal_magic,crystal,кристалл,cristal,cristal,Kristall,cristal,晶体,クリスタル,수정,,,,
mat_aluminium_oxide,aluminium,алюминий,alumínio,aluminio,Aluminium,aluminium,铝,アルミニウム,알루미늄,,,,
mat_meat,meat,мясо,carne,carne,Fleisch,viande,肉,肉,고기,,,,
mat_urine,urine,моча,urina,orina,Urin,urine,尿液,尿,소변,,,,
mat_poo,excrement,экскременты,excremento,excremento,Exkremente,excréments,粪便,排せつ物,대변,,,,
mat_rocket_particles,smoke,дым,fumaça,humo,Rauch,fumée,烟,煙,연기,,,,
mat_ice_melting_perf_killer,ice,лед,gelo,hielo,Eis,glace,寒冰,氷,얼음,,,,
mat_ice_b2,ice,лед,gelo,hielo,Eis,glace,寒冰,氷,얼음,,,,
mat_glass,glass,стекло,vidro,vidrio,Glas,verre,玻璃,ガラス,유리,,,,
mat_neon_tube_purple,neon tube,неоновая трубка,tubo de neon,tubo de neón,Neonröhre,tube néon,霓虹灯,ネオンチューブ,네온 튜브,,,,
