,en,fi-es,ru,zh-cn,jp,ko,pt-br,es-es,de,fr-fr,,NOTES – use \n for newline,max length
perk_extra_shop_item,Extra shop item,,Дополнительный товар,额外商店物品,追加ショップアイテム,추가 상점 아이템,Item extra de loja,Objeto adicional en tienda,Zusätzlicher Ladengegenstand,Objet de boutique supplémentaire,,,
perkdesc_extra_shop_item,Additional item in every shop you haven't visited.,,Дополнительный товар в каждом не посещенном вами магазине.,在你尚未造访的每间商店中追加一件额外物品。,まだ行った事のないショップ全てに追加アイテムが加わる。,방문하지 않은 모든 상점에 추가 아이템이 있습니다.,Adiciona um item em cada loja que você não visitou.,Un objeto adicional en cada tienda que no hayas visitado.,"Zusätzlicher Gegenstand in jedem Laden, den du noch nicht besucht hast.",Un objet en plus dans chaque boutique que vous n'avez pas visitée.,,,
perk_poison_burn,Burning poison,,Горящий яд,燃烧之毒,燃焼ポイズン,불타는 독,Veneno flamejante,Veneno ardiente,Brennendes Gift,Poison brûlant,,,
perkdesc_poison_burn,Your projectiles have a chance to ignite poisoned enemies.,,У снарядов появляется вероятность поджечь отравленных врагов.,你的投射物一定几率点燃中毒的敌人。,あなたの放射物が毒に侵された敵に点火する可能性がある。,발사체가 적에게 일정 확률로 불을 붙입니다.,Seus projéteis têm a chance de incendiar inimigos envenenados.,Tus proyectiles tienen una probabilidad de prender a enemigos envenenados.,"Es besteht die Chance, dass deine Projektile vergiftete Feinde in Brand setzen.",Vos projectiles ont une chance d'enflammer des ennemis empoisonnés.,,,
perk_low_gravity,Low gravity,,Низкая гравитация,低重力,低重力,저중력,Gravidade baixa,Gravedad baja,Geringe Schwerkraft,Faible gravité,,,
perkdesc_low_gravity,Your movement is floatier and you jump and fly higher.,,"Вы двигаетесь плавнее, прыгаете и летите выше.",你的移动虚浮，你的跳跃更高。,あなたの動きがフワフワし、更に高くジャンプをしたり飛んだりできるようになる。,이동 시 몸이 좀 더 뜨며 점프 및 비행 시 높이가 더 높아집니다.,Seu movimento fica mais flutuante e você pula e voa mais alto.,"La gravedad te afecta menos, saltas y vuelas más alto.",Deine Bewegungen sind flüssiger und du springst und fliegst höher.,"Vos mouvements sont plus flottants, et vous sautez et volez plus haut.",,,
perk_destruction_enhancement,Destruction enhancement,,Усиленное разрушение,破坏增强,増強破壊,파괴 강화,Destruição aprimorada,Destrucción mejorada,Zerstörungsverbesserung,Destruction perfectionnée,,,
perkdesc_destruction_enchancement,You can destroy the environment better.,,Вы более эффективно можете разрушать окружение.,你对环境能造成更多破坏。,更に良く環境を破壊できるようになる。,주변 환경을 파괴할 수 있습니다.,Faz você destruir mais o ambiente.,Puedes destruir el entorno de manera más efectiva.,Du kannst die Umgebung besser zerstören.,Vous pouvez mieux détruire l'environnement.,,,
perk_damaging_aura,Damaging aura,,Повреждающая аура,伤害光环,ダメージオーラ,대미지 아우라,Aura perigosa,Aura de daño,Schadensaura,Aura de dégâts,,,
perkdesc_damaging_aura,Your spells damage nearby enemies even if they don't hit them.,,"Заклинания наносят урон врагам поблизости, даже если не попадают в них.",即使没有命中，你的法术也能对附近敌人造成伤害。,あなたの呪文が当たらなくても、周辺の敵にダメージが与えられる。,주문이 주변 적에게 명중하지 않아도 대미지를 줍니다.,Seus feitiços causam dano a inimigos próximos mesmo se não acertá-los.,Tus hechizos dañan a los enemigos cercanos aunque no les impacten.,"Deine Zauber fügen nahen Feinden Schaden zu, selbst wenn du sie nicht triffst.",Vos sorts infligent des dégâts aux ennemis à proximité même s'ils ne les touchent pas.,,,
perk_thunder_kick,Thunder kick,,Громовой удар,雷霆踢击,雷キック,번개 발차기,Chute do trovão,Patada trueno,Donnertritt,Pied foudroyant,,,
perkdesc_thunder_kick,"Your kicks instantly kill most foes, and push objects more.",,Ваши удары мгновенно убивают большинство врагов и сильнее толкают предметы.,你的踢击能够瞬杀绝大多数敌人，并且能将物体推得更远。,あなたの蹴りがほとんどの敵を瞬時に倒し、オブジェクトを更に強く押す。,"발차기를 하면 대부분의 적이 즉시 사망하며, 물건을 더 자주 뒤로 밀어냅니다.",Seu chute mata na hora a maioria dos inimigos e empurra objetos com mais força.,"Tus patadas matan al instante a la mayoría de enemigos, y empujan los objetos con más fuerza.","Deine Tritte töten sofort die meisten Feinde, und verschieben Objekte weiter.",Vos coups de pied tuent instantanément la plupart des ennemis et repoussent mieux les objets.,,,
perk_vision,Better vision,,Лучшее зрение,更好视野,視力改善,더 좋은 시야,Visão melhorada,Visión mejorada,Bessere Sicht,Vision améliorée,,,
perkdesc_vision,You can see a larger area through the fog-of-war.,,Вы можете видеть большую область через туман войны.,你可透过战争迷雾看到更宽阔的区域。,フォグ・オブ・ウォーを通して大きなエリアを見ることができる。,전장의 안개 너머 더 넓은 지역을 볼 수 있게 됩니다.,Você consegue enxergar uma área maior no nevoeiro de guerra.,Puedes ver una zona más amplia a través de la niebla de guerra.,Du kannst ein größeres Gebiet durch den Kriegsnebel sehen,Vous pouvez voir sur une plus grande zone à travers le brouillard de guerre.,,,
perk_telepathic_vision,Telepathic presence,,Телепатическое присутствие,心灵存在,テレパシーな存在,텔레파시 인식,Presença telepática,Presencia telepática,Telepathische Präsenz,Présence télépathique,,,
perkdesc_telepathic_vision,"Fog-of-war is no more, but enemies always know where you are.",,"Тумана войны больше нет, но враги всегда знают, где вы.",战争迷雾不复存在，但敌人始终知道你的位置。,フォグ・オブ・ウォーはないが、敵が常にあなたの居場所を知るようになる。,"전장의 안개는 이제 없지만, 적도 내 위치를 항상 알게 됩니다.","Diga adeus ao nevoeiro de guerra, porém os inimigos sempre saberão onde você está.","La niebla de guerra se elimina, pero los enemigos siempre saben dónde estás.","Der Kriegsnebel ist weg, aber Feinde wissen immer wo du bist.","Le brouillard de guerre n'est plus, mais les ennemis savent toujours où vous êtes.",,,
perk_no_more_knockback,No More Knockback,,Без отбрасываний,不再击退,ノックバック無し,넉백 제거,Chega de empurrões,Sin retroceso,Kein Rückschlag mehr,Fin des projections,,,
perkdesc_no_more_knockback,Enemies can't knock you back.,,Враги не могут отбросить вас.,敌人无法将你击退。,敵があなたをノックバックできなくなる。,적이 더 이상 나를 넉백할 수 없습니다.,Os inimigos não poderão empurrar você.,Los enemigos no pueden empujarte.,Feinde können dich nicht zurückschlagen.,Les ennemis ne peuvent pas vous projeter.,,,
perk_knockback_control,Controllable Knockback,,Контролируемое отбрасывание,可控击退。,操作可能ノックバック,넉백 제어,Empurrão controlável,Retroceso controlado,Kontrollierter Rückschlag,Projection contrôlée,,,
perkdesc_knockback_control,You can steer while being knocked back.,,"Если вас отбросили, вы не теряете контроль.",在被击退过程中仍可控制方向。,ノックバックされている時に操作ができる。,넉백을 당할 때에도 방향을 조종할 수 있습니다.,Você consegue se direcionar ao receber empurrão.,Puedes controlar el movimiento cuando se te empuja.,Steuern ist während des Rückschlags möglich.,Vous pouvez vous orienter quand vous êtes projeté(e).,,,
perk_roll_again,Roll again,,Новая раздача,再次抽选,もう一回,다시 굴리기,Jogar os dados de novo,Tira de nuevo,Nochmal würfeln,Relancer,,,
perkdesc_roll_again,Get a new set of perks to choose from.,,Вы получаете новый набор бонусов на выбор.,获得新的一组特性以供选择。,新しい特典セットを獲得する。,새로 선택 가능한 능력을 받습니다.,Receba um novo conjunto de vantagens para escolher.,Recibe un nuevo conjunto de ventajas para elegir.,"Erhalte eine neue Auswahl an Boni, aus denen du wählen kannst.",Obtenez un nouvel ensemble d'avantages à choisir.,,,
perk_reveal_secrets,Reveal secrets,,Раскрытые секреты,揭晓秘密,秘密暴露,비밀 밝히기,Revelar segredos,Secretos revelados,Geheimnisse lüften,Révélation de secrets,,,
perkdesc_reveal_secrets,"Chests, hearts and other items shine through darkness.",,"Сундуки, сердца и другие предметы сияют сквозь тьму.",宝箱、心与其他物品会在黑暗中闪闪发亮。,箱、ハートやその他のアイテムが闇の中で光る。,"상자, 하트 및 기타 아이템이 어둠 속에서 빛납니다.","Baús, corações e outros itens brilham na escuridão.","Los cofres, corazones y otros objetos brillan en la oscuridad.","Truhen, Herzen und anderen Gegenstände leuchten in der Dunkelheit.","Les coffres, les cœurs et les autres objets brillent dans le noir.",,,
perk_potion_drop,Flask drop,,Выпадение бутылей,烧瓶掉落,フラスコ落下,플라스크 드롭,Queda de frascos,Suelta el frasco,Flasche fallenlassen,Lâché de flacon,,,
perkdesc_potion_drop,Enemies have a chance of dropping a random flask upon death.,,У врагов есть вероятность после смерти дать случайную бутыль.,敌人死亡时一定几率掉落一个随机烧瓶。,敵が死亡時に、ランダムなフラスコを落とす可能性がある。,적이 사망 시 일정 확률로 무작위 플라스크를 떨어뜨립니다.,Os inimigos têm a chance de deixar cair um frasco aleatório ao morrerem.,Los enemigos tienen una probabilidad de dejar caer un frasco al morir.,"Es besteht die Chance, dass Feinde nach ihrem Tod eine zufällige Flasche fallenlassen.",Les ennemis ont des chances de lâcher un flacon aléatoire à leur mort.,,,
